cls,gene,n,removal_prob
induction,AMY2A,9,0.9999817881457177
induction,GATM,10,0.9999624893700488
induction,AQP8,11,0.9998635560221072
inplane,AMY2A,1,0.9999816067929294
inplane,COCH,1,0.8437762233682616
inplane,GATM,2,0.9999621291135479
induction,AMY2A,9,0.9999815482789368
induction,GATM,16,0.9999619389500518
induction,AQP8,5,0.9998624230406492
inplane,AMY2A,2,0.9999763723094667
inplane,EGFR,1,0.8625896013830159
inplane,GATM,2,0.9999510597899526
inplane,AQP8,1,0.9998261680273007
inplane,AMY2A,5,0.9999775258260661
inplane,KCNK3,1,0.9594373466392954
inplane,ANPEP,1,0.9996072065165744
inplane,ADAM28,1,0.8387710374608452
inplane,AMY2A,3,0.9999732764237307
inplane,GPC3,1,0.8684916801797415
inplane,GATM,1,0.9999444861459816
inplane,TCIM,1,0.0
inplane,CYTIP,1,0.9096290929298392
inplane,AMY2A,3,0.9999637417709295
inplane,GATM,1,0.9999241542920376
ambient,AMY2A,1,0.9999682661333237
ambient,PROX1,1,0.7989798013029221
ambient,KCNK3,1,0.9562498125084888
ambient,HAMP,1,0.8540643514112722
ambient,ANPEP,1,0.999650032067578
ambient,CA4,1,0.838516145585436
ambient,CPA3,1,0.8213372697381216
ambient,KCNK3,1,0.9663318679239308
ambient,ANPEP,1,0.9996501237612835
ambient,KCNK3,1,0.955105982695201
ambient,CA4,2,0.8187369650614821
inplane,TENT5C,1,0.9979179507228696
inplane,AMY2A,2,0.9999804918625019
inplane,GATM,1,0.999959676403828
ambient,DPEP1,1,0.977733837096608
ambient,COCH,1,0.7807174031625935
outplane,CD79A,1,0.9729672511028686
outplane,AMY2A,3,0.9999722935286187
outplane,GATM,1,0.9999423917035823
outplane,AQP8,1,0.9997986108428042
outplane,APOLD1,1,0.0
outplane,CFTR,1,0.999843558357638
outplane,AMY2A,2,0.9999685251285867
inplane,IGF1,1,0.6096600359717859
inplane,AMY2A,2,0.9999655716002568
inplane,GATM,2,0.9999244541283759
inplane,CD1C,1,0.937513652476795
inplane,AMY2A,1,0.9999766205538525
inplane,GATM,3,0.9999515712753955
induction,AMY2A,9,0.9999812614947269
induction,GATM,12,0.99996142293193
induction,AQP8,9,0.9998593938336868
inplane,NTN4,1,0.8873518944438973
inplane,CFTR,1,0.9998709762953868
inplane,AMY2A,2,0.9999762119584295
induction,AMY2A,11,0.9999732250490428
induction,GATM,13,0.9999443762038369
induction,AQP8,6,0.9998048566326633
inplane,EDN1,1,0.21643450393257935
inplane,ANPEP,1,0.9997230891001103
inplane,AMY2A,1,0.9999807785957803
inplane,INS,1,0.9974044121600878
ambient,CA4,1,0.8140137330100633
ambient,HAMP,1,0.8350517662182243
outplane,FKBP11,1,0.8489647797634144
outplane,SERPINB9,1,0.18648042651501517
outplane,TENT5C,1,0.9963659651950606
outplane,AMY2A,1,0.9999683030966006
ambient,CFTR,1,0.9998793080593427
ambient,KCNK3,1,0.9504901750673266
induction,AMY2A,9,0.9999795824604177
induction,GATM,11,0.9999578727367785
induction,AQP8,10,0.9998479002057767
outplane,CD163,1,0.996275274762967
outplane,CD1E,1,0.7229509020133255
outplane,AMY2A,4,0.9999738263260896
ambient,FKBP11,1,0.9322510203034439
ambient,DIRAS3,1,0.9300691574541818
ambient,AMY2A,1,0.9999757785539259
ambient,HAMP,1,0.9140425196499822
induction,AMY2A,3,0.9999435662495796
induction,GATM,7,0.9998736625591419
induction,AQP8,2,0.9996163190813886
outplane,CD163,1,0.9916988830243838
outplane,CFTR,1,0.9997523038084463
outplane,CLIC6,1,0.7507238963754709
outplane,AMY2A,1,0.9999500161286418
inplane,FSTL3,1,0.7656571392247553
inplane,PROX1,1,0.7629895655483258
inplane,CYP1A1,1,0.04507670235587247
inplane,DIRAS3,1,0.8628898261708815
outplane,AMY2A,3,0.9999803494919111
outplane,GATM,2,0.999959560966389
induction,AMY2A,11,0.9999813416297355
induction,GATM,14,0.9999615703742618
induction,AQP8,5,0.999860203206562
inplane,ANPEP,1,0.99958402013316
inplane,AMY2A,1,0.9999704755114905
inplane,PROX1,1,0.8539237206310246
inplane,GATM,1,0.9999386822822509
ambient,AMY2A,1,0.9999713651872811
ambient,GLYATL1,1,0.41652131747263554
outplane,MYH11,2,0.9960333953677522
outplane,MET,1,0.26732201717387005
outplane,AMY2A,1,0.9999731677870068
induction,AMY2A,9,0.9999768153989291
induction,GATM,14,0.9999519587942262
induction,AQP8,7,0.9998296388936502
inplane,FCGR1A,1,0.5255902140572841
inplane,TCIM,1,0.0
inplane,ACTG2,1,0.35623759874274574
inplane,AMY2A,1,0.9999717454887888
inplane,FKBP11,1,0.8843992058134025
inplane,CFTR,2,0.9998254247773378
inplane,TRAC,1,0.5542554632909276
inplane,AMY2A,1,0.9999710965246109
inplane,SMYD2,1,0.6459737063975032
inplane,AMY2A,3,0.9999768894463189
inplane,GATM,1,0.9999522466784445
inplane,PPP1R1B,1,0.9884022462578125
inplane,DPEP1,1,0.9869584314975747
inplane,CFTR,2,0.9998813819210097
inplane,AMY2A,2,0.9999782701315116
inplane,SMYD2,1,0.6813594210908192
inplane,AMY2A,3,0.999980208562186
inplane,AQP8,1,0.9998516047394007
ambient,AMY2A,1,0.9999803415745621
ambient,CPA3,1,0.8806950087797758
inplane,GATM,2,0.9999615133346651
inplane,AQP8,3,0.999859879607239
induction,AMY2A,12,0.999981200222574
induction,GATM,11,0.9999612566324987
induction,AQP8,7,0.9998594098362965
outplane,AMY2A,2,0.9999806184404585
outplane,GATM,1,0.9999600639544742
outplane,AQP8,1,0.9998549857961402
induction,AMY2A,12,0.9999830255140728
induction,GATM,8,0.9999650366473312
induction,AQP8,10,0.9998728403720548
inplane,CFTR,2,0.9998610860868923
inplane,AMY2A,2,0.9999760654182489
inplane,GATM,1,0.9999503855342213
inplane,CFTR,1,0.9998434422708004
inplane,EHF,1,0.9983296065893656
inplane,AMY2A,3,0.9999735474267019
inplane,EPCAM,1,0.9993233865585223
inplane,AMY2A,2,0.9999735468551642
inplane,GATM,1,0.9999450336168335
outplane,EHF,1,0.9986560042372064
outplane,AMY2A,1,0.999981755738926
outplane,GATM,1,0.9999624357356021
outplane,AQP8,1,0.9998631576539738
outplane,BASP1,1,0.048110353435391384
outplane,TCIM,1,0.0
outplane,AMY2A,1,0.9999791080649608
outplane,FXYD2,1,0.9619808064868677
outplane,APCDD1,1,0.1891512516742575
outplane,CFTR,1,0.9998767856149227
outplane,AMY2A,1,0.9999798388898774
outplane,GATM,1,0.9999584914020727
inplane,FBLN1,1,0.8639615500988904
inplane,FSTL3,1,0.8361633121240017
inplane,STC1,1,0.0
inplane,MALL,1,0.05433228410192592
inplane,AMY2A,2,0.9999672949872457
inplane,ESR1,1,0.8046189750141594
inplane,MDM2,1,0.5696954198796454
inplane,CFTR,1,0.9998893149431789
inplane,TFPI,1,0.0
inplane,AMY2A,1,0.9999815516265376
induction,AMY2A,10,0.9999824589570552
induction,GATM,8,0.9999638772554619
induction,AQP8,12,0.9998685070450978
ambient,CA4,1,0.8404656312663905
ambient,GLYATL1,1,0.4804126463594228
induction,AMY2A,14,0.9999750884824727
induction,GATM,10,0.9999482178009766
induction,AQP8,6,0.9998187601553972
induction,AMY2A,9,0.9999821112347935
induction,GATM,9,0.9999631407882839
induction,AQP8,12,0.9998661423199214
ambient,CFTR,1,0.9998739927951957
ambient,GATM,1,0.9999551891340429
outplane,SMYD2,1,0.7655526953849336
outplane,FKBP11,1,0.9442077529135162
outplane,CFTR,1,0.9998857968150828
