cls,gene,n,removal_prob
outplane,CFTR,1,0.9998315797919416
outplane,AMY2A,2,0.9999642898955069
inplane,IGF1,1,0.576183907773347
inplane,AMY2A,2,0.9999613244490447
inplane,GATM,2,0.9999098781199702
inplane,CD1C,1,0.9282928382757034
inplane,AMY2A,1,0.9999747933291532
inplane,GATM,3,0.9999460150382019
induction,CA4,2,0.01612462123378089
induction,PROX1,3,0.11439857064388359
induction,DIRAS3,5,0.022045077808809266
inplane,NTN4,1,0.8803547287594756
inplane,CFTR,1,0.9998647781194261
inplane,AMY2A,2,0.9999741711179786
induction,CA4,4,0.016319823535496658
induction,PROX1,1,0.11067626907030081
induction,DIRAS3,5,0.020910703051008395
inplane,EDN1,1,0.2142105942968464
inplane,ANPEP,1,0.9997104228508902
inplane,AMY2A,1,0.9999795549951613
inplane,INS,1,0.9974878007758075
ambient,RIDA,1,0.7764327375688611
ambient,PROX1,1,0.3302473194093025
outplane,FKBP11,1,0.832505678770967
outplane,SERPINB9,1,0.18504895522499976
outplane,TENT5C,1,0.9960444230977706
outplane,AMY2A,1,0.9999649928476604
ambient,HAMP,1,0.8368713050501458
ambient,COCH,1,0.6789440717572978
induction,CA4,5,0.02079266140988978
induction,PROX1,3,0.14075434399261544
induction,DIRAS3,2,0.027760329255772875
outplane,CD163,1,0.996344900255472
outplane,CD1E,1,0.7119270863824976
outplane,AMY2A,4,0.9999714343260121
ambient,CA4,1,0.06644976705275041
ambient,AMY2A,1,0.9999440152871114
ambient,UMOD,1,0.8943391136859918
ambient,AMY2A,1,0.9999735336717845
induction,CA4,1,0.038779655800179724
induction,DIRAS3,3,0.05377265305299539
outplane,CD163,1,0.9919561072140445
outplane,CFTR,1,0.9997439715637928
outplane,CLIC6,1,0.7486722826247831
outplane,AMY2A,1,0.9999445590662376
inplane,FSTL3,1,0.7662040840092295
inplane,PROX1,1,0.3536039724200001
inplane,CYP1A1,1,0.04433699180285511
inplane,DIRAS3,1,0.08228177986235818
outplane,AMY2A,3,0.9999792550028996
outplane,GATM,2,0.9999563014795969
induction,CA4,2,0.018548766247012183
induction,PROX1,4,0.1293750749887167
induction,DIRAS3,4,0.024827041913129233
inplane,ANPEP,1,0.9995599404079926
inplane,AMY2A,1,0.999967941341087
inplane,PROX1,1,0.41779258331468605
inplane,GATM,1,0.9999308863489791
ambient,GATM,1,0.9999312729051628
ambient,AQP3,1,0.8002710851168252
outplane,MYH11,2,0.9962036514835797
outplane,MET,1,0.24741241542460868
outplane,AMY2A,1,0.99997061917753
induction,CA4,3,0.013893383544637539
induction,PROX1,3,0.09663628627525711
induction,DIRAS3,4,0.01865842271771856
inplane,FCGR1A,1,0.509722268532832
inplane,TCIM,1,0.0
inplane,ACTG2,1,0.35060615713697196
inplane,AMY2A,1,0.9999687248551338
inplane,FKBP11,1,0.8704962489428846
inplane,CFTR,2,0.9998137447563482
inplane,TRAC,1,0.5527225177188719
inplane,AMY2A,1,0.9999682241985158
inplane,SMYD2,1,0.6347350185437322
inplane,AMY2A,3,0.9999753663982439
inplane,GATM,1,0.9999475901235986
inplane,PPP1R1B,1,0.9880727586052916
inplane,DPEP1,1,0.9852669901330819
inplane,CFTR,2,0.9998762857834368
inplane,AMY2A,2,0.9999765977725332
inplane,SMYD2,1,0.670047351613597
inplane,AMY2A,3,0.9999791825690231
inplane,AQP8,1,0.9998202954305289
ambient,DPEP1,1,0.983787869010317
ambient,UMOD,1,0.9207450132267532
inplane,GATM,2,0.9999581515084801
inplane,AQP8,3,0.9998287574865677
induction,CA4,3,0.015006583265299245
induction,PROX1,4,0.10649566111223119
induction,DIRAS3,3,0.02005033551480684
outplane,AMY2A,2,0.999979419340697
outplane,GATM,1,0.9999565208123946
outplane,AQP8,1,0.9998218925112236
induction,CA4,1,0.014079125883285193
induction,PROX1,5,0.10274994697962825
induction,DIRAS3,4,0.019176233565796785
inplane,CFTR,2,0.9998558035519763
inplane,AMY2A,2,0.9999743882857373
inplane,GATM,1,0.9999450092635911
inplane,CFTR,1,0.9998331366974025
inplane,EHF,1,0.998269967384312
inplane,AMY2A,3,0.9999708646440006
inplane,EPCAM,1,0.9993016386201988
