pair,stratum,totals,rate,excess_rate,lam
T / NK -> Fibroblast / CAF,5,76657,0.008896773941062135,0.008191070744969501,0.6
T / NK -> Fibroblast / CAF,6,69794,0.010344728773246985,0.009639025577154351,0.6
T / NK -> Fibroblast / CAF,7,57094,0.011542368725260098,0.010836665529167466,0.6
T / NK -> Fibroblast / CAF,8,35065,0.011980648833238475,0.011274945637145841,0.6
T / NK -> Fibroblast / CAF,9,22212,0.011980648833238475,0.011274945637145841,0.6
T / NK -> Fibroblast / CAF,10,9639,0.011980648833238475,0.011274945637145841,0.6
T / NK -> Fibroblast / CAF,11,3364,0.011980648833238475,0.011274945637145841,0.6
T / NK -> Fibroblast / CAF,12,1544,0.012305699481865285,0.011599996285772653,0.6
T / NK -> Fibroblast / CAF,13,413,0.014527845036319613,0.013822141840226981,0.6
B / plasma -> Myeloid,0,4857641,0.001486935736914276,0.0,0.0
B / plasma -> Myeloid,1,2394387,0.002413143739921742,0.000926208003007466,0.026131438090852277
B / plasma -> Myeloid,2,1093019,0.0036367162876400137,0.002149780550725738,0.06065252857651578
B / plasma -> Myeloid,3,466375,0.004438488340927365,0.002951552604013089,0.0832732106537846
B / plasma -> Myeloid,4,186186,0.005283240387437629,0.0037963046505233525,0.10710650267223606
B / plasma -> Myeloid,5,72746,0.005283240387437629,0.0037963046505233525,0.10710650267223606
B / plasma -> Myeloid,6,26173,0.006151377373629313,0.004664441636715037,0.13159956236874595
B / plasma -> Myeloid,7,8778,0.007802668009061163,0.006315732272146887,0.17818801644134985
B / plasma -> Myeloid,8,3141,0.007802668009061163,0.006315732272146887,0.17818801644134985
B / plasma -> Myeloid,9,566,0.012367491166077738,0.010880555429163462,0.3069770069660905
Endothelial -> Myeloid,0,6233592,0.005631424064969283,0.0,0.0
Endothelial -> Myeloid,1,2240754,0.006012708222321594,0.00038128415735231083,0.004632764105018313
Endothelial -> Myeloid,2,514931,0.006907721617071025,0.001276297552101742,0.015507556169547873
