cls,gene,n,removal_prob
inplane,ANPEP,1,0.9995603578998443
inplane,AMY2A,1,0.9999682856624406
inplane,PROX1,1,0.8409926014675969
inplane,GATM,1,0.9999324157097933
ambient,GATM,1,0.9999326633241823
ambient,AQP3,1,0.7998090441530971
outplane,MYH11,2,0.9961819446186132
outplane,MET,1,0.24739524963888349
outplane,AMY2A,1,0.9999708668094308
induction,AMY2A,3,0.9999737033272296
induction,GATM,4,0.9999442377945253
induction,AQP8,3,0.9997830039663834
inplane,FCGR1A,1,0.5101345823166328
inplane,TCIM,1,0.0
inplane,ACTG2,1,0.3507970582939586
inplane,AMY2A,1,0.9999690337661974
inplane,FKBP11,1,0.870659652409996
inplane,CFTR,2,0.9998135278856172
inplane,TRAC,1,0.5529694980443911
inplane,AMY2A,1,0.9999685096020604
inplane,SMYD2,1,0.6349416515526461
inplane,AMY2A,3,0.9999755433732455
inplane,GATM,1,0.99994844185822
inplane,PPP1R1B,1,0.9880873875731254
inplane,DPEP1,1,0.985283961812843
inplane,CFTR,2,0.9998761952664835
inplane,AMY2A,2,0.9999767709027321
inplane,SMYD2,1,0.6700647703882312
inplane,AMY2A,3,0.9999792990213593
inplane,AQP8,1,0.9998304343650387
ambient,DPEP1,1,0.9837833362553442
ambient,UMOD,1,0.9207466774078108
inplane,GATM,2,0.9999587033690002
inplane,AQP8,3,0.9998384387705336
induction,AMY2A,4,0.9999795463525718
induction,GATM,3,0.9999571108262375
induction,AQP8,3,0.9998323081718751
outplane,AMY2A,2,0.9999795488798814
outplane,GATM,1,0.9999571258650524
outplane,AQP8,1,0.9998323510807836
induction,AMY2A,5,0.9999818264771005
induction,GATM,4,0.9999619477569258
induction,AQP8,1,0.9998511269228221
inplane,CFTR,2,0.9998553509648012
inplane,AMY2A,2,0.9999745395482976
inplane,GATM,1,0.9999459333413192
inplane,CFTR,1,0.999832968171216
inplane,EHF,1,0.9982686143448171
inplane,AMY2A,3,0.9999711361808382
inplane,EPCAM,1,0.9993010507150408
inplane,AMY2A,2,0.9999711582816528
inplane,GATM,1,0.9999384370060911
outplane,EHF,1,0.9986239793504715
outplane,AMY2A,1,0.9999808374357555
outplane,GATM,1,0.9999598930830931
outplane,AQP8,1,0.9998430629360143
outplane,BASP1,1,0.050614630677367045
outplane,TCIM,1,0.0
outplane,AMY2A,1,0.9999777452778386
outplane,FXYD2,1,0.9581591349752818
outplane,APCDD1,1,0.18415603946655024
outplane,CFTR,1,0.9998712542597546
outplane,AMY2A,1,0.9999786950762116
outplane,GATM,1,0.9999553927720845
inplane,FBLN1,1,0.8593224646004478
inplane,FSTL3,1,0.8288750882281071
inplane,STC1,1,0.0
inplane,MALL,1,0.05547487689235242
