target,source,gene,owner,retained_molecules,log_fold_per_neighbor,z,dispersion,removed_frac,psi_share_e4,hit
Exocrine epithelial,Endocrine,PMP22,Fibroblast / CAF,1841.817548191364,0.029991751791098375,0.58887448566769,1.0,0.3405562173434846,9.688324538258575,False
Exocrine epithelial,Endothelial,PMP22,Fibroblast / CAF,1841.817548191364,0.05802340791671944,2.3964858753689553,1.0,0.3405562173434846,58.03118059972993,False
Exocrine epithelial,Fibroblast / CAF,PMP22,Fibroblast / CAF,1841.817548191364,0.02620560026168768,1.027158470820885,1.0,0.3405562173434846,113.70307890101887,False
Exocrine epithelial,Immune,PMP22,Fibroblast / CAF,1841.817548191364,0.13009830198363478,6.287012984442303,1.0,0.3405562173434846,82.73199430068485,True
Exocrine epithelial,Mural / pericyte,PMP22,Fibroblast / CAF,1841.817548191364,-0.04587596377341816,-0.32759736793052047,1.0,0.3405562173434846,67.05783738474435,False
Exocrine epithelial,Ductal/tumor epithelial,SLC22A8,Mural / pericyte,205.130870515587,0.015628745275135386,0.29237626920406595,1.059014454509698,0.05141559230368142,0.3090095293784868,False
Exocrine epithelial,Endocrine,SLC22A8,Mural / pericyte,205.130870515587,0.009108000584731954,0.056746409433885876,1.059014454509698,0.05141559230368142,0.41226912928759896,False
Exocrine epithelial,Endothelial,SLC22A8,Mural / pericyte,205.130870515587,0.0756089875238257,1.0267738054633382,1.059014454509698,0.05141559230368142,0.3347952726907496,False
Exocrine epithelial,Fibroblast / CAF,SLC22A8,Mural / pericyte,205.130870515587,-0.09436591500374991,-1.0759950389788884,1.059014454509698,0.05141559230368142,0.37157868921901593,False
Exocrine epithelial,Immune,SLC22A8,Mural / pericyte,205.130870515587,0.02811602762700679,0.40875253944573103,1.059014454509698,0.05141559230368142,0.4596221905593602,False
Exocrine epithelial,Mural / pericyte,SLC22A8,Mural / pericyte,205.130870515587,0.44410662315951593,1.3648153483244791,1.059014454509698,0.05141559230368142,1.0477787091366304,False
Exocrine epithelial,Ductal/tumor epithelial,CFB,Ductal/tumor epithelial,12967.910659131789,0.23171573340872645,22.81655354339548,2.2741757539148417,0.42869317778592597,425.2921922799911,True
Exocrine epithelial,Endocrine,CFB,Ductal/tumor epithelial,12967.910659131789,0.028667091389129262,0.9476032361217638,2.2741757539148417,0.42869317778592597,17.933707124010553,False
Exocrine epithelial,Endothelial,CFB,Ductal/tumor epithelial,12967.910659131789,0.00339341725515612,0.2342012286616476,2.2741757539148417,0.42869317778592597,58.365975872420684,False
Exocrine epithelial,Fibroblast / CAF,CFB,Ductal/tumor epithelial,12967.910659131789,0.14700987675821833,11.137774986081084,2.2741757539148417,0.42869317778592597,64.43174471057736,True
Exocrine epithelial,Immune,CFB,Ductal/tumor epithelial,12967.910659131789,0.1667642129238571,14.442257987808858,2.2741757539148417,0.42869317778592597,86.1331985108241,True
Exocrine epithelial,Mural / pericyte,CFB,Ductal/tumor epithelial,12967.910659131789,0.14094786979030513,2.0355030023137646,2.2741757539148417,0.42869317778592597,52.38893545683152,False
Exocrine epithelial,Ductal/tumor epithelial,FCGR3A,Immune,1113.4413377387339,0.1294605513026591,5.519707384895857,1.083039435494617,0.368522978179588,10.839103492045382,False
Exocrine epithelial,Endocrine,FCGR3A,Immune,1113.4413377387339,0.019414902703025122,0.2775196445663584,1.083039435494617,0.368522978179588,4.328825857519789,False
Exocrine epithelial,Endothelial,FCGR3A,Immune,1113.4413377387339,0.05421013985906794,1.6532291675161763,1.083039435494617,0.368522978179588,16.18177151338623,False
Exocrine epithelial,Fibroblast / CAF,FCGR3A,Immune,1113.4413377387339,0.01310816298999578,0.3695288710144675,1.083039435494617,0.368522978179588,34.63113383521228,False
Exocrine epithelial,Immune,FCGR3A,Immune,1113.4413377387339,-0.03932892801272728,-1.247684688005341,1.083039435494617,0.368522978179588,108.56276141012087,False
Exocrine epithelial,Mural / pericyte,FCGR3A,Immune,1113.4413377387339,-0.035785828618476595,-0.1872053084438081,1.083039435494617,0.368522978179588,31.433361274098907,False
Exocrine epithelial,Ductal/tumor epithelial,LILRB4,Immune,155.22877722442195,0.13180044596326437,2.1541490130870424,1.0281327302733854,0.3444690587795527,1.2835780451106373,False
Exocrine epithelial,Endocrine,LILRB4,Immune,155.22877722442195,-0.21144835718181348,-0.8159899907930386,1.0281327302733854,0.3444690587795527,0.8245382585751979,False
Exocrine epithelial,Endothelial,LILRB4,Immune,155.22877722442195,-0.054573006160942385,-0.598444128683594,1.0281327302733854,0.3444690587795527,1.0043858180722487,False
Exocrine epithelial,Fibroblast / CAF,LILRB4,Immune,155.22877722442195,0.11795063485202542,1.3998487170900602,1.0281327302733854,0.3444690587795527,2.7496823002207176,False
Exocrine epithelial,Immune,LILRB4,Immune,155.22877722442195,0.01778897585218956,0.22856042156250314,1.0281327302733854,0.3444690587795527,10.939008135312774,False
Exocrine epithelial,Mural / pericyte,LILRB4,Immune,155.22877722442195,0.24911877801167054,0.604959711711063,1.0281327302733854,0.3444690587795527,3.492595697122101,False
Exocrine epithelial,Ductal/tumor epithelial,PTGDS,Fibroblast / CAF,484.3726164373272,-0.08467114513326289,-2.5033842970550433,1.0,0.43642626581515487,3.9220440267269474,False
Exocrine epithelial,Endocrine,PTGDS,Fibroblast / CAF,484.3726164373272,0.12671728839138696,1.5610174545782642,1.0,0.43642626581515487,5.565633245382586,False
Exocrine epithelial,Endothelial,PTGDS,Fibroblast / CAF,484.3726164373272,0.01626795229466983,0.33875789444485577,1.0,0.43642626581515487,12.499023513787984,False
Exocrine epithelial,Fibroblast / CAF,PTGDS,Fibroblast / CAF,484.3726164373272,-0.10476186533765006,-1.852458304676042,1.0,0.43642626581515487,61.83069388604425,False
Exocrine epithelial,Immune,PTGDS,Fibroblast / CAF,484.3726164373272,-0.055039342717218304,-1.1945261296175234,1.0,0.43642626581515487,31.07046008181275,False
Exocrine epithelial,Mural / pericyte,PTGDS,Fibroblast / CAF,484.3726164373272,0.03527038526390851,0.12800637877358864,1.0,0.43642626581515487,15.716680637049453,False
Exocrine epithelial,Ductal/tumor epithelial,PLD4,Immune,590.2115573930328,0.0512794696552807,1.638906465932821,1.0418531629753458,0.1390685865421134,1.6401275020858144,False
Exocrine epithelial,Endocrine,PLD4,Immune,590.2115573930328,0.016615061143632676,0.17897086023640157,1.0418531629753458,0.1390685865421134,0.6184036939313985,False
Exocrine epithelial,Endothelial,PLD4,Immune,590.2115573930328,0.014583766679706662,0.32501630952680827,1.0418531629753458,0.1390685865421134,1.6739763634537481,False
Exocrine epithelial,Fibroblast / CAF,PLD4,Immune,590.2115573930328,0.028954606167823034,0.62074299577799,1.0418531629753458,0.1390685865421134,2.7496823002207176,False
Exocrine epithelial,Immune,PLD4,Immune,590.2115573930328,0.014098537840496243,0.3485847275086781,1.0418531629753458,0.1390685865421134,9.10051937307533,False
Exocrine epithelial,Mural / pericyte,PLD4,Immune,590.2115573930328,0.08947925317223364,0.3762664613857924,1.0418531629753458,0.1390685865421134,3.8418552668343113,False
Exocrine epithelial,Ductal/tumor epithelial,LILRB2,Immune,558.9167266594234,0.034444597563855595,1.094860850262851,1.0,0.25638664235619446,2.7810857644063804,False
Exocrine epithelial,Endocrine,LILRB2,Immune,558.9167266594234,-0.09783255339501477,-0.8778208604034642,1.0,0.25638664235619446,0.0,False
Exocrine epithelial,Endothelial,LILRB2,Immune,558.9167266594234,0.0270123955614193,0.604759845349012,1.0,0.25638664235619446,4.3523385449797445,False
Exocrine epithelial,Fibroblast / CAF,LILRB2,Immune,558.9167266594234,0.03740813998116658,0.801804074643402,1.0,0.25638664235619446,7.505889522224121,False
Exocrine epithelial,Immune,LILRB2,Immune,558.9167266594234,-0.009848774216891825,-0.23861365738371942,1.0,0.25638664235619446,20.591074137059337,False
Exocrine epithelial,Mural / pericyte,LILRB2,Immune,558.9167266594234,0.26115678064244696,1.21666656014198,1.0,0.25638664235619446,6.985191394244202,False
Exocrine epithelial,Ductal/tumor epithelial,CFHR3,Endothelial,517.436607348263,0.02631315627978896,0.8047166013120179,1.0,0.3939637523287489,7.796548125857204,False
Exocrine epithelial,Endocrine,CFHR3,Endothelial,517.436607348263,0.1459825671977374,1.850008709697333,1.0,0.3939637523287489,3.91655672823219,False
Exocrine epithelial,Endothelial,CFHR3,Endothelial,517.436607348263,0.053679715456175676,1.172931239103515,1.0,0.3939637523287489,33.81432254176571,False
Exocrine epithelial,Fibroblast / CAF,CFHR3,Endothelial,517.436607348263,0.04818401979116275,1.0063867641086126,1.0,0.3939637523287489,20.436827907045874,False
Exocrine epithelial,Immune,CFHR3,Endothelial,517.436607348263,0.022718161368529853,0.5411324004035728,1.0,0.3939637523287489,9.284368249299076,False
Exocrine epithelial,Mural / pericyte,CFHR3,Endothelial,517.436607348263,0.1304398619349218,0.5420296774262928,1.0,0.3939637523287489,11.176306230790724,False
Exocrine epithelial,Ductal/tumor epithelial,LY86,Immune,445.8862261779298,0.08340088507667202,2.357674912591402,1.0,0.3553878788717132,3.3991048231633543,False
Exocrine epithelial,Endocrine,LY86,Immune,445.8862261779298,0.006499638649742163,0.06083512743930342,1.0,0.3553878788717132,2.267480211081794,False
Exocrine epithelial,Endothelial,LY86,Immune,445.8862261779298,0.007891363931098067,0.15501121556141087,1.0,0.3553878788717132,4.910330666130995,False
Exocrine epithelial,Fibroblast / CAF,LY86,Immune,445.8862261779298,0.04564890543540101,0.8752732598110302,1.0,0.3553878788717132,7.803152473599334,False
Exocrine epithelial,Immune,LY86,Immune,445.8862261779298,-0.030219947019335995,-0.6415098812140507,1.0,0.3553878788717132,31.98970446293147,False
Exocrine epithelial,Mural / pericyte,LY86,Immune,445.8862261779298,0.2758216756107292,1.155722916041937,1.0,0.3553878788717132,6.635931824531992,False
Exocrine epithelial,Ductal/tumor epithelial,MNDA,Immune,559.9613828691246,0.09019974923750845,2.8501536563780143,1.0043945284210316,0.43276134431860136,5.562171528812761,False
Exocrine epithelial,Endocrine,MNDA,Immune,559.9613828691246,-0.09017677492167925,-0.8128827150371646,1.0043945284210316,0.43276134431860136,2.473614775725594,False
Exocrine epithelial,Endothelial,MNDA,Immune,559.9613828691246,-0.07006656706735066,-1.4666866108580228,1.0043945284210316,0.43276134431860136,8.03508654457799,False
Exocrine epithelial,Fibroblast / CAF,MNDA,Immune,559.9613828691246,0.0845416513598976,1.8813558268037636,1.0043945284210316,0.43276134431860136,17.984408558200368,False
Exocrine epithelial,Immune,MNDA,Immune,559.9613828691246,0.022485787020031876,0.5573627701784888,1.0043945284210316,0.43276134431860136,49.455347704187155,False
Exocrine epithelial,Mural / pericyte,MNDA,Immune,559.9613828691246,0.2826507531203161,1.3362827063272023,1.0043945284210316,0.43276134431860136,17.113718915898296,False
Exocrine epithelial,Ductal/tumor epithelial,CD28,Immune,439.12378872234274,0.02957254779553371,0.8256242954859945,1.019727761822956,0.18745638537985243,1.568817610690779,False
Exocrine epithelial,Endocrine,CD28,Immune,439.12378872234274,-0.21035160659078433,-1.3980782575927144,1.019727761822956,0.18745638537985243,0.20613456464379948,False
Exocrine epithelial,Endothelial,CD28,Immune,439.12378872234274,0.02120254047795296,0.4151784169722519,1.019727761822956,0.18745638537985243,2.7899606057562463,False
Exocrine epithelial,Fibroblast / CAF,CD28,Immune,439.12378872234274,0.09621997298718958,1.8875326578155998,1.019727761822956,0.18745638537985243,5.12778591122242,False
Exocrine epithelial,Immune,CD28,Immune,439.12378872234274,-0.03170130564884259,-0.665360139743586,1.019727761822956,0.18745638537985243,10.847083697200901,False
Exocrine epithelial,Mural / pericyte,CD28,Immune,439.12378872234274,-0.500659401150721,-1.293382164443162,1.019727761822956,0.18745638537985243,8.032970103380833,False
Exocrine epithelial,Ductal/tumor epithelial,CYP2F1,Mural / pericyte,520.6839112870707,0.001051222827165209,0.03227578385095681,1.0,0.04279423775236613,0.7844088053453895,False
Exocrine epithelial,Endocrine,CYP2F1,Mural / pericyte,520.6839112870707,0.03396588254245326,0.36329635145625666,1.0,0.04279423775236613,0.6184036939313985,False
Exocrine epithelial,Endothelial,CYP2F1,Mural / pericyte,520.6839112870707,0.06273162805608157,1.3858813636114522,1.0,0.04279423775236613,0.6695905453814992,False
Exocrine epithelial,Fibroblast / CAF,CYP2F1,Mural / pericyte,520.6839112870707,0.05000219599883499,1.0452973850327845,1.0,0.04279423775236613,0.44589442706281907,False
Exocrine epithelial,Immune,CYP2F1,Mural / pericyte,520.6839112870707,0.008734833335359307,0.2067764298910123,1.0,0.04279423775236613,0.5515466286712323,False
Exocrine epithelial,Mural / pericyte,CYP2F1,Mural / pericyte,520.6839112870707,-0.6346025346556219,-1.677121359297673,1.0,0.04279423775236613,2.4448169879854706,False
Exocrine epithelial,Ductal/tumor epithelial,CXCL10,Immune,359.5213067240958,-0.02230564087597782,-0.4485894109957097,1.6131129448025143,0.20176419215357233,2.5671560902212747,False
Exocrine epithelial,Endocrine,CXCL10,Immune,359.5213067240958,-0.1491455002270784,-0.7902970378554804,1.6131129448025143,0.20176419215357233,0.6184036939313985,False
Exocrine epithelial,Endothelial,CXCL10,Immune,359.5213067240958,0.0019076041836495194,0.026710427991999585,1.6131129448025143,0.20176419215357233,1.1159842423024988,False
Exocrine epithelial,Fibroblast / CAF,CXCL10,Immune,359.5213067240958,0.09138956956842856,1.3013705444242232,1.6131129448025143,0.20176419215357233,2.898313775908324,False
Exocrine epithelial,Immune,CXCL10,Immune,359.5213067240958,0.03995407109369173,0.639066742654548,1.6131129448025143,0.20176419215357233,6.526635105942915,False
Exocrine epithelial,Mural / pericyte,CXCL10,Immune,359.5213067240958,-0.19035159372584035,-0.4274771943499337,1.6131129448025143,0.20176419215357233,2.4448169879854706,False
Exocrine epithelial,Ductal/tumor epithelial,TCIM,Endothelial,15645.119803305168,-0.06106564610773213,-9.49811444133467,1.1695999743687286,0.19316399595892209,127.76355541610509,True
Exocrine epithelial,Endocrine,TCIM,Endothelial,15645.119803305168,-0.04478141559925426,-2.17263019684099,1.1695999743687286,0.19316399595892209,22.05639841688654,False
Exocrine epithelial,Endothelial,TCIM,Endothelial,15645.119803305168,0.009000049477077719,0.984129206031973,1.1695999743687286,0.19316399595892209,256.5647773053445,False
Exocrine epithelial,Fibroblast / CAF,TCIM,Endothelial,15645.119803305168,0.045051008163832285,4.839695520289703,1.1695999743687286,0.19316399595892209,52.46691091772505,False
Exocrine epithelial,Immune,TCIM,Endothelial,15645.119803305168,0.09360890921137284,12.049088033260182,1.1695999743687286,0.19316399595892209,51.201912028312734,True
Exocrine epithelial,Mural / pericyte,TCIM,Endothelial,15645.119803305168,0.1264309172177238,2.674931959760319,1.1695999743687286,0.19316399595892209,48.5470801899972,False
Exocrine epithelial,Ductal/tumor epithelial,C15orf48,Ductal/tumor epithelial,1769.1505377807441,0.025557732648272442,1.2329664521845025,1.3713664689660707,0.42246109334971227,33.01647971590139,False
Exocrine epithelial,Endocrine,C15orf48,Ductal/tumor epithelial,1769.1505377807441,-0.0555349702388628,-0.7843470247653166,1.3713664689660707,0.42246109334971227,17.315303430079155,False
Exocrine epithelial,Endothelial,C15orf48,Ductal/tumor epithelial,1769.1505377807441,0.03871110235256145,1.3257136768003692,1.3713664689660707,0.42246109334971227,8.03508654457799,False
